时间戳记,UserName,Currency,Paid,ShareType （Share by）,Category
2019-9-14 上午11:07:27,flora,USD,251.17,Days,食品，酒水，冰
2019-9-14 上午11:07:51,jenny,USD,20,Days,食品，酒水，冰
2019-9-14 上午11:08:46,二师兄01,USD,213.8,Days,食品，酒水，冰
2019-9-14 上午11:09:07,二师兄01,USD,46,Days,食品，酒水，冰
2019-9-14 上午11:09:35,二师兄01,USD,37.86,Days,食品，酒水，冰
2019-9-14 上午11:10:44,二师兄01,USD,65,Days,防晒，湿巾等杂货
2019-9-14 上午11:11:13,大师兄D,USD,82,Days,食品，酒水，冰
2019-9-14 上午11:13:01,大师兄D,USD,233,Days,食品，酒水，冰
2019-9-14 上午11:14:19,大师兄D,USD,114,Days,食品，酒水，冰
2019-9-14 上午11:15:53,RongZhang,USD,48,Days,食品，酒水，冰
2019-9-14 上午11:16:12,RongZhang,USD,165.09,Days,食品，酒水，冰
2019-9-14 上午11:16:39,WanrongLin,USD,24,Days,食品，酒水，冰
2019-9-14 上午11:17:22,WanrongLin,USD,62.13,Days,食品，酒水，冰
2019-9-14 上午11:17:48,WanrongLin,USD,43.63,Days,食品，酒水，冰
2019-9-14 上午11:18:21,WanrongLin,USD,164.01,Days,食品，酒水，冰
2019-9-14 上午11:18:35,WanrongLin,USD,44.21,Days,食品，酒水，冰
2019-9-14 上午11:22:43,yifeng,USD,893.4,Days,食品，酒水，冰
2019-9-14 上午11:23:11,harry,USD,294.87,Days,食品，酒水，冰
2019-9-14 上午11:23:35,Tao,USD,300,Days,食品，酒水，冰
2019-9-14 上午11:24:05,Tao,USD,1200,Group,公共物资，存储费用
2019-9-14 上午11:32:23,yifeng,USD,546.23,Group,公共租车，油费
2019-9-14 下午12:43:19,mk,USD,374,Group,公共物资，存储费用
2019-9-14 下午12:44:44,mk,USD,75.2,Days,食品，酒水，冰
2019-9-14 下午12:45:21,mk,USD,90,Days,食品，酒水，冰
2019-9-14 下午12:46:40,mk,USD,409,Group,公共物资，存储费用
2019-9-14 下午12:47:08,mk,USD,500,Group,公共租车，油费
2019-9-14 下午12:48:04,mk,USD,40,Days,食品，酒水，冰
2019-9-15 上午12:35:22,WanrongLin,USD,12.35,Days,食品，酒水，冰
2019-9-15 上午12:36:02,WanrongLin,USD,54.36,Group,公共物资，存储费用
