时间戳记,UserName参加人,Check In Day 到达营地日期,Check Out Day 离开营地日期,Calculate Days
2023-9-11 上午10:24:47,cc,2023-8-30,2023-9-4,5
2023-9-11 上午10:25:04,mk,2023-8-30,2023-9-4,5
2023-9-11 上午10:25:55,felix,2023-8-28,2023-9-4,7
2023-9-11 上午10:26:31,yifeng,2023-8-28,2023-9-4,7
2023-9-11 上午10:27:04,林博,2023-8-28,2023-9-4,7
2023-9-11 上午10:27:23,peter,2023-8-28,2023-9-4,7
2023-9-11 上午10:27:48,bob,2023-8-28,2023-9-4,7
2023-9-11 上午10:28:09,杀手,2023-8-28,2023-9-2,5
2023-9-11 上午10:29:14,Daisy,2023-9-1,2023-9-3,2
2023-9-11 上午10:29:45,campass,2023-9-1,2023-9-3,2
2023-9-11 上午10:30:17,tao,2023-8-30,2023-9-2,3
2023-9-11 上午10:30:44,顾,2023-8-30,2023-9-2,3
2023-9-11 上午10:31:34,DX,2023-8-28,2023-9-4,7
2023-9-11 上午10:31:54,AB,2023-8-28,2023-9-4,7
